0.00,-1,19.425394,-99.134933,-3.99,-4.99,-5.99,-6.99,-7.98,-8.98,-9.98,-10.98,-11.98
0.09,-1,19.425395,-99.134933,-3.99,-4.98,-5.98,-6.98,-7.97,-8.97,-9.97,-10.96,-11.96
0.19,-1,19.425397,-99.134933,-3.98,-4.98,-5.97,-6.97,-7.96,-8.96,-9.95,-10.95,-11.94
0.28,-0.99,19.425399,-99.134933,-3.97,-4.97,-5.96,-6.95,-7.95,-8.94,-9.93,-10.93,-11.92
0.38,-0.99,19.425401,-99.134933,-3.96,-4.96,-5.95,-6.94,-7.93,-8.92,-9.91,-10.9,-11.89
0.47,-0.99,19.425403,-99.134933,-3.95,-4.94,-5.93,-6.92,-7.91,-8.9,-9.89,-10.87,-11.86
0.57,-0.99,19.425405,-99.134933,-3.94,-4.93,-5.91,-6.9,-7.89,-8.87,-9.86,-10.84,-11.83
0.66,-0.98,19.425407,-99.134933,-3.93,-4.91,-5.9,-6.88,-7.86,-8.84,-9.83,-10.81,-11.79
0.76,-0.98,19.425409,-99.134933,-3.92,-4.9,-5.88,-6.86,-7.83,-8.81,-9.79,-10.77,-11.75
0.85,-0.98,19.425411,-99.134933,-3.9,-4.88,-5.85,-6.83,-7.81,-8.78,-9.76,-10.73,-11.71
0.95,-0.97,19.425413,-99.134933,-3.89,-4.86,-5.83,-6.8,-7.77,-8.74,-9.72,-10.69,-11.66
1.04,-0.97,19.425415,-99.134933,-3.87,-4.84,-5.8,-6.77,-7.74,-8.71,-9.67,-10.64,-11.61
1.14,-0.96,19.425416,-99.134933,-3.85,-4.81,-5.78,-6.74,-7.7,-8.67,-9.63,-10.59,-11.55
1.23,-0.96,19.425418,-99.134933,-3.83,-4.79,-5.75,-6.71,-7.66,-8.62,-9.58,-10.54,-11.5
1.33,-0.95,19.42542,-99.134933,-3.81,-4.76,-5.72,-6.67,-7.62,-8.58,-9.53,-10.48,-11.43
1.42,-0.95,19.425422,-99.134933,-3.79,-4.74,-5.68,-6.63,-7.58,-8.53,-9.47,-10.42,-11.37
1.51,-0.94,19.425424,-99.134933,-3.77,-4.71,-5.65,-6.59,-7.53,-8.47,-9.42,-10.36,-11.3
1.61,-0.94,19.425426,-99.134933,-3.74,-4.68,-5.61,-6.55,-7.49,-8.42,-9.36,-10.29,-11.23
1.70,-0.93,19.425428,-99.134933,-3.72,-4.65,-5.58,-6.51,-7.43,-8.36,-9.29,-10.22,-11.15
1.80,-0.92,19.42543,-99.134933,-3.69,-4.61,-5.54,-6.46,-7.38,-8.3,-9.23,-10.15,-11.07
1.89,-0.92,19.425432,-99.134933,-3.66,-4.58,-5.5,-6.41,-7.33,-8.24,-9.16,-10.07,-10.99
1.99,-0.91,19.425434,-99.134933,-3.63,-4.54,-5.45,-6.36,-7.27,-8.18,-9.09,-10,-10.9
2.08,-0.9,19.425436,-99.134933,-3.61,-4.51,-5.41,-6.31,-7.21,-8.11,-9.01,-9.91,-10.82
2.18,-0.89,19.425437,-99.134933,-3.57,-4.47,-5.36,-6.26,-7.15,-8.04,-8.94,-9.83,-10.72
2.27,-0.89,19.425439,-99.134933,-3.54,-4.43,-5.31,-6.2,-7.09,-7.97,-8.86,-9.74,-10.63
2.36,-0.88,19.425441,-99.134933,-3.51,-4.39,-5.26,-6.14,-7.02,-7.9,-8.77,-9.65,-10.53
2.46,-0.87,19.425443,-99.134933,-3.48,-4.34,-5.21,-6.08,-6.95,-7.82,-8.69,-9.56,-10.43
2.55,-0.86,19.425445,-99.134933,-3.44,-4.3,-5.16,-6.02,-6.88,-7.74,-8.6,-9.46,-10.32
2.64,-0.85,19.425447,-99.134933,-3.4,-4.26,-5.11,-5.96,-6.81,-7.66,-8.51,-9.36,-10.21
2.74,-0.84,19.425449,-99.134933,-3.37,-4.21,-5.05,-5.89,-6.73,-7.58,-8.42,-9.26,-10.1
2.83,-0.83,19.425451,-99.134933,-3.33,-4.16,-4.99,-5.83,-6.66,-7.49,-8.32,-9.16,-9.99
2.92,-0.82,19.425453,-99.134933,-3.29,-4.11,-4.94,-5.76,-6.58,-7.4,-8.23,-9.05,-9.87
3.02,-0.81,19.425455,-99.134933,-3.25,-4.06,-4.87,-5.69,-6.5,-7.31,-8.12,-8.94,-9.75
3.11,-0.8,19.425457,-99.134933,-3.21,-4.01,-4.81,-5.62,-6.42,-7.22,-8.02,-8.82,-9.63
3.20,-0.79,19.425458,-99.134933,-3.17,-3.96,-4.75,-5.54,-6.33,-7.12,-7.92,-8.71,-9.5
3.29,-0.78,19.42546,-99.134933,-3.12,-3.9,-4.69,-5.47,-6.25,-7.03,-7.81,-8.59,-9.37
3.39,-0.77,19.425462,-99.134933,-3.08,-3.85,-4.62,-5.39,-6.16,-6.93,-7.7,-8.47,-9.24
3.48,-0.76,19.425464,-99.134933,-3.03,-3.79,-4.55,-5.31,-6.07,-6.83,-7.59,-8.34,-9.1
3.57,-0.75,19.425466,-99.134933,-2.99,-3.74,-4.48,-5.23,-5.98,-6.72,-7.47,-8.22,-8.97
3.66,-0.74,19.425468,-99.134933,-2.94,-3.68,-4.41,-5.15,-5.88,-6.62,-7.35,-8.09,-8.82
