0.00,0.54,19.506711,-99.317825,2.18,2.72,3.27,3.81,4.36,4.9,5.44,5.99,6.53,0
0.08,0.56,19.506721,-99.317817,2.24,2.79,3.35,3.91,4.47,5.03,5.59,6.15,6.71,0
0.16,0.57,19.506731,-99.31781,2.29,2.87,3.44,4.01,4.59,5.16,5.73,6.31,6.88,0
0.24,0.59,19.50674,-99.317802,2.35,2.94,3.53,4.11,4.7,5.29,5.88,6.46,7.05,0
0.32,0.6,19.50675,-99.317794,2.41,3.01,3.61,4.21,4.81,5.41,6.02,6.62,7.22,0
0.40,0.62,19.506759,-99.317787,2.46,3.08,3.69,4.31,4.92,5.54,6.15,6.77,7.38,0
0.48,0.63,19.506769,-99.317779,2.52,3.15,3.77,4.4,5.03,5.66,6.29,6.92,7.55,0
0.56,0.64,19.506778,-99.317771,2.57,3.21,3.86,4.5,5.14,5.78,6.43,7.07,7.71,0
0.64,0.66,19.506788,-99.317764,2.62,3.28,3.93,4.59,5.25,5.9,6.56,7.21,7.87,0
0.72,0.67,19.506797,-99.317756,2.68,3.34,4.01,4.68,5.35,6.02,6.69,7.36,8.03,0
0.80,0.68,19.506807,-99.317749,2.73,3.41,4.09,4.77,5.45,6.14,6.82,7.5,8.18,0
0.88,0.69,19.506816,-99.317741,2.78,3.47,4.17,4.86,5.56,6.25,6.94,7.64,8.33,0
0.96,0.71,19.506826,-99.317733,2.83,3.53,4.24,4.95,5.65,6.36,7.07,7.78,8.48,0
1.04,0.72,19.506835,-99.317726,2.88,3.6,4.31,5.03,5.75,6.47,7.19,7.91,8.63,0
1.12,0.73,19.506845,-99.317718,2.92,3.66,4.39,5.12,5.85,6.58,7.31,8.04,8.77,0
1.20,0.74,19.506855,-99.31771,2.97,3.71,4.46,5.2,5.94,6.69,7.43,8.17,8.91,0
0.00,0.95,19.507074,-99.317535,3.78,4.73,5.67,6.62,7.56,8.51,9.45,10.4,11.34,0
0.08,0.95,19.507083,-99.317527,3.8,4.75,5.71,6.66,7.61,8.56,9.51,10.46,11.41,0
0.17,0.96,19.507093,-99.31752,3.82,4.78,5.74,6.69,7.65,8.61,9.56,10.52,11.47,0
0.25,0.96,19.507102,-99.317512,3.84,4.81,5.77,6.73,7.69,8.65,9.61,10.57,11.53,0
0.33,0.97,19.507112,-99.317504,3.86,4.83,5.79,6.76,7.73,8.69,9.66,10.62,11.59,0
0.42,0.97,19.507122,-99.317497,3.88,4.85,5.82,6.79,7.76,8.73,9.7,10.67,11.64,0
0.50,0.97,19.507131,-99.317489,3.9,4.87,5.85,6.82,7.79,8.77,9.74,10.72,11.69,0
0.58,0.98,19.507141,-99.317481,3.91,4.89,5.87,6.85,7.82,8.8,9.78,10.76,11.74,0
0.67,0.98,19.50715,-99.317474,3.93,4.91,5.89,6.87,7.85,8.83,9.81,10.8,11.78,0
0.75,0.98,19.50716,-99.317466,3.94,4.92,5.91,6.89,7.88,8.86,9.85,10.83,11.82,0
0.83,0.99,19.507169,-99.317459,3.95,4.94,5.93,6.91,7.9,8.89,9.88,10.86,11.85,0
0.92,0.99,19.507179,-99.317451,3.96,4.95,5.94,6.93,7.92,8.91,9.9,10.89,11.88,0
1.00,0.99,19.507188,-99.317443,3.97,4.96,5.95,6.95,7.94,8.93,9.92,10.92,11.91,0
1.08,0.99,19.507198,-99.317436,3.98,4.97,5.97,6.96,7.96,8.95,9.94,10.94,11.93,0
1.17,1,19.507207,-99.317428,3.98,4.98,5.98,6.97,7.97,8.97,9.96,10.96,11.95,0
1.25,1,19.507217,-99.31742,3.99,4.99,5.99,6.98,7.98,8.98,9.98,10.97,11.97,0
1.33,1,19.507226,-99.317413,3.99,4.99,5.99,6.99,7.99,8.99,9.99,10.98,11.98,0
1.41,1,19.507236,-99.317405,4,5,6,7,7.99,8.99,9.99,10.99,11.99,0
1.50,1,19.507246,-99.317398,4,5,6,7,8,9,10,11,12,0
1.58,1,19.507255,-99.31739,4,5,6,7,8,9,10,11,12,0
1.67,1,19.507265,-99.317382,4,5,6,7,8,9,10,11,12,0
1.75,1,19.507274,-99.317375,4,5,6,7,8,8.99,9.99,10.99,11.99,0
1.83,1,19.507284,-99.317367,3.99,4.99,5.99,6.99,7.99,8.99,9.99,10.99,11.98,0
1.92,1,19.507293,-99.317359,3.99,4.99,5.99,6.98,7.98,8.98,9.98,10.97,11.97,0
2.00,1,19.507303,-99.317352,3.99,4.98,5.98,6.97,7.97,8.97,9.96,10.96,11.96,0
2.08,0.99,19.507312,-99.317344,3.98,4.97,5.97,6.96,7.96,8.95,9.95,10.94,11.94,0
2.17,0.99,19.507322,-99.317337,3.97,4.96,5.96,6.95,7.94,8.93,9.93,10.92,11.91,0
2.25,0.99,19.507331,-99.317329,3.96,4.95,5.94,6.93,7.92,8.91,9.9,10.89,11.88,0
2.33,0.99,19.507341,-99.317321,3.95,4.94,5.93,6.91,7.9,8.89,9.88,10.87,11.85,0
