0.00,0.95,19.425224,-99.134101,3.78,4.73,5.67,6.62,7.57,8.51,9.46,10.4,11.35,0,19.508636,-99.316232
0.08,0.94,19.425233,-99.134094,3.76,4.7,5.64,6.58,7.52,8.46,9.4,10.34,11.28,0,19.508636,-99.316232
0.17,0.93,19.425243,-99.134086,3.74,4.67,5.6,6.54,7.47,8.41,9.34,10.27,11.21,0,19.508636,-99.316232
0.25,0.93,19.425252,-99.134078,3.71,4.64,5.57,6.49,7.42,8.35,9.28,10.2,11.13,0,19.508636,-99.316232
0.33,0.92,19.425262,-99.134071,3.68,4.6,5.53,6.45,7.37,8.29,9.21,10.13,11.05,0,19.508636,-99.316232
0.41,0.91,19.425271,-99.134063,3.66,4.57,5.48,6.4,7.31,8.23,9.14,10.05,10.97,0,19.508636,-99.316232
0.50,0.91,19.425281,-99.134056,3.63,4.53,5.44,6.35,7.25,8.16,9.07,9.97,10.88,0,19.508636,-99.316232
0.58,0.9,19.425291,-99.134048,3.6,4.5,5.4,6.29,7.19,8.09,8.99,9.89,10.79,0,19.508636,-99.316232
0.66,0.89,19.4253,-99.13404,3.57,4.46,5.35,6.24,7.13,8.02,8.91,9.81,10.7,0,19.508636,-99.316232
0.74,0.88,19.42531,-99.134033,3.53,4.42,5.3,6.18,7.07,7.95,8.83,9.72,10.6,0,19.508636,-99.316232
0.83,0.88,19.425319,-99.134025,3.5,4.38,5.25,6.13,7,7.88,8.75,9.63,10.5,0,19.508636,-99.316232
0.91,0.87,19.425329,-99.134017,3.47,4.33,5.2,6.07,6.93,7.8,8.67,9.53,10.4,0,19.508636,-99.316232
0.99,0.86,19.425338,-99.13401,3.43,4.29,5.15,6,6.86,7.72,8.58,9.43,10.29,0,19.508636,-99.316232
1.07,0.85,19.425348,-99.134002,3.39,4.24,5.09,5.94,6.79,7.64,8.49,9.33,10.18,0,19.508636,-99.316232
1.16,0.84,19.425357,-99.133995,3.36,4.2,5.04,5.87,6.71,7.55,8.39,9.23,10.07,0,19.508636,-99.316232
1.24,0.83,19.425367,-99.133987,3.32,4.15,4.98,5.81,6.64,7.47,8.3,9.13,9.96,0,19.508636,-99.316232
1.32,0.82,19.425376,-99.133979,3.28,4.1,4.92,5.74,6.56,7.38,8.2,9.02,9.84,0,19.508636,-99.316232
1.40,0.81,19.425386,-99.133972,3.24,4.05,4.86,5.67,6.48,7.29,8.1,8.91,9.72,0,19.508636,-99.316232
1.48,0.8,19.425395,-99.133964,3.2,4,4.8,5.6,6.39,7.19,7.99,8.79,9.59,0,19.508636,-99.316232
1.56,0.79,19.425405,-99.133956,3.15,3.94,4.73,5.52,6.31,7.1,7.89,8.68,9.46,0,19.508636,-99.316232
1.64,0.78,19.425415,-99.133949,3.11,3.89,4.67,5.45,6.22,7,7.78,8.56,9.33,0,19.508636,-99.316232
1.73,0.77,19.425424,-99.133941,3.07,3.83,4.6,5.37,6.13,6.9,7.67,8.43,9.2,0,19.508636,-99.316232
1.81,0.76,19.425434,-99.133934,3.02,3.78,4.53,5.29,6.04,6.8,7.55,8.31,9.07,0,19.508636,-99.316232
1.89,0.74,19.425443,-99.133926,2.98,3.72,4.46,5.21,5.95,6.7,7.44,8.18,8.93,0,19.508636,-99.316232
1.97,0.73,19.425453,-99.133918,2.93,3.66,4.39,5.13,5.86,6.59,7.32,8.05,8.79,0,19.508636,-99.316232
2.05,0.72,19.425462,-99.133911,2.88,3.6,4.32,5.04,5.76,6.48,7.2,7.92,8.64,0,19.508636,-99.316232
2.13,0.71,19.425472,-99.133903,2.83,3.54,4.25,4.96,5.66,6.37,7.08,7.79,8.5,0,19.508636,-99.316232
2.21,0.7,19.425481,-99.133895,2.78,3.48,4.17,4.87,5.56,6.26,6.96,7.65,8.35,0,19.508636,-99.316232
2.29,0.68,19.425491,-99.133888,2.73,3.41,4.1,4.78,5.46,6.15,6.83,7.51,8.19,0,19.508636,-99.316232
2.37,0.67,19.4255,-99.13388,2.68,3.35,4.02,4.69,5.36,6.03,6.7,7.37,8.04,0,19.508636,-99.316232
2.46,0.66,19.42551,-99.133872,2.63,3.28,3.94,4.6,5.26,5.91,6.57,7.23,7.88,0,19.508636,-99.316232
2.54,0.64,19.425519,-99.133865,2.57,3.22,3.86,4.51,5.15,5.79,6.44,7.08,7.72,0,19.508636,-99.316232
2.62,0.63,19.425529,-99.133857,2.52,3.15,3.78,4.41,5.04,5.67,6.3,6.93,7.56,0,19.508636,-99.316232
2.70,0.62,19.425539,-99.13385,2.47,3.08,3.7,4.32,4.93,5.55,6.17,6.78,7.4,0,19.508636,-99.316232
2.78,0.6,19.425548,-99.133842,2.41,3.01,3.62,4.22,4.82,5.43,6.03,6.63,7.23,0,19.508636,-99.316232
2.86,0.59,19.425558,-99.133834,2.36,2.94,3.53,4.12,4.71,5.3,5.89,6.48,7.07,0,19.508636,-99.316232
2.94,0.57,19.425567,-99.133827,2.3,2.87,3.45,4.02,4.6,5.17,5.75,6.32,6.9,0,19.508636,-99.316232
3.02,0.56,19.425577,-99.133819,2.24,2.8,3.36,3.92,4.48,5.04,5.6,6.16,6.72,0,19.508636,-99.316232
3.10,0.55,19.425586,-99.133811,2.18,2.73,3.27,3.82,4.37,4.91,5.46,6,6.55,0,19.508636,-99.316232
3.19,0.53,19.425596,-99.133804,2.12,2.66,3.19,3.72,4.25,4.78,5.31,5.84,6.37,0,19.508636,-99.316232
3.27,0.52,19.425605,-99.133796,2.06,2.58,3.1,3.61,4.13,4.65,5.16,5.68,6.19,0,19.508636,-99.316232
3.35,0.5,19.425615,-99.133789,2,2.51,3.01,3.51,4.01,4.51,5.01,5.51,6.01,0,19.508636,-99.316232
3.43,0.49,19.425624,-99.133781,1.94,2.43,2.92,3.4,3.89,4.37,4.86,5.35,5.83,0,19.508636,-99.316232
3.51,0.47,19.425634,-99.133773,1.88,2.35,2.82,3.29,3.77,4.24,4.71,5.18,5.65,0,19.508636,-99.316232
3.59,0.46,19.425643,-99.133766,1.82,2.28,2.73,3.19,3.64,4.1,4.55,5.01,5.46,0,19.508636,-99.316232
3.67,0.44,19.425653,-99.133758,1.76,2.2,2.64,3.08,3.52,3.96,4.4,4.84,5.28,0,19.508636,-99.316232
3.75,0.42,19.425662,-99.13375,1.7,2.12,2.54,2.97,3.39,3.81,4.24,4.66,5.09,0,19.508636,-99.316232
3.83,0.41,19.425672,-99.133743,1.63,2.04,2.45,2.86,3.26,3.67,4.08,4.49,4.9,0,19.508636,-99.316232
3.92,0.39,19.425682,-99.133735,1.57,1.96,2.35,2.74,3.14,3.53,3.92,4.31,4.7,0,19.508636,-99.316232
4.00,0.38,19.425691,-99.133728,1.5,1.88,2.26,2.63,3.01,3.38,3.76,4.13,4.51,0,19.508636,-99.316232
4.08,0.36,19.425701,-99.13372,1.44,1.8,2.16,2.52,2.88,3.24,3.6,3.96,4.32,0,19.508636,-99.316232
4.16,0.34,19.42571,-99.133712,1.37,1.72,2.06,2.4,2.75,3.09,3.43,3.78,4.12,0,19.508636,-99.316232
4.24,0.33,19.42572,-99.133705,1.31,1.63,1.96,2.29,2.62,2.94,3.27,3.6,3.92,0,19.508636,-99.316232
4.32,0.31,19.425729,-99.133697,1.24,1.55,1.86,2.17,2.48,2.79,3.1,3.41,3.72,0,19.508636,-99.316232
4.40,0.29,19.425739,-99.133689,1.18,1.47,1.76,2.06,2.35,2.64,2.94,3.23,3.53,0,19.508636,-99.316232
4.48,0.28,19.425748,-99.133682,1.11,1.39,1.66,1.94,2.22,2.49,2.77,3.05,3.32,0,19.508636,-99.316232
4.56,0.26,19.425758,-99.133674,1.04,1.3,1.56,1.82,2.08,2.34,2.6,2.86,3.12,0,19.508636,-99.316232
4.65,0.24,19.425767,-99.133666,0.97,1.22,1.46,1.7,1.95,2.19,2.43,2.68,2.92,0,19.508636,-99.316232
4.73,0.23,19.425777,-99.133659,0.91,1.13,1.36,1.58,1.81,2.04,2.26,2.49,2.72,0,19.508636,-99.316232
4.81,0.21,19.425786,-99.133651,0.84,1.05,1.26,1.47,1.67,1.88,2.09,2.3,2.51,0,19.508636,-99.316232
4.89,0.19,19.425796,-99.133644,0.77,0.96,1.15,1.35,1.54,1.73,1.92,2.12,2.31,0,19.508636,-99.316232
4.97,0.18,19.425806,-99.133636,0.7,0.88,1.05,1.23,1.4,1.58,1.75,1.93,2.1,0,19.508636,-99.316232
5.05,0.16,19.425815,-99.133628,0.63,0.79,0.95,1.11,1.26,1.42,1.58,1.74,1.9,0,19.508636,-99.316232
5.13,0.14,19.425825,-99.133621,0.56,0.7,0.84,0.98,1.13,1.27,1.41,1.55,1.69,0,19.508636,-99.316232
5.21,0.12,19.425834,-99.133613,0.49,0.62,0.74,0.86,0.99,1.11,1.23,1.36,1.48,0,19.508636,-99.316232
5.29,0.11,19.425844,-99.133605,0.42,0.53,0.64,0.74,0.85,0.95,1.06,1.17,1.27,0,19.508636,-99.316232
5.38,0.09,19.425853,-99.133598,0.35,0.44,0.53,0.62,0.71,0.8,0.89,0.98,1.06,0,19.508636,-99.316232
5.46,0.07,19.425863,-99.13359,0.29,0.36,0.43,0.5,0.57,0.64,0.71,0.78,0.86,0,19.508636,-99.316232
5.54,0.05,19.425872,-99.133583,0.22,0.27,0.32,0.38,0.43,0.49,0.54,0.59,0.65,0,19.508636,-99.316232
5.62,0.04,19.425882,-99.133575,0.15,0.18,0.22,0.26,0.29,0.33,0.36,0.4,0.44,0,19.508636,-99.316232
5.70,0.02,19.425891,-99.133567,0.08,0.1,0.11,0.13,0.15,0.17,0.19,0.21,0.23,0,19.508636,-99.316232
5.78,0,19.425901,-99.13356,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0,19.508636,-99.316232
5.86,-0.02,19.42591,-99.133552,-0.06,-0.08,-0.1,-0.11,-0.13,-0.14,-0.16,-0.17,-0.19,0,19.508636,-99.316232
5.95,-0.03,19.42592,-99.133544,-0.13,-0.17,-0.2,-0.23,-0.27,-0.3,-0.33,-0.37,-0.4,0,19.508636,-99.316232
6.05,-0.05,19.42593,-99.133537,-0.2,-0.25,-0.3,-0.36,-0.41,-0.46,-0.51,-0.56,-0.61,0,19.508636,-99.316232
6.14,-0.07,19.425939,-99.133529,-0.27,-0.34,-0.41,-0.48,-0.55,-0.61,-0.68,-0.75,-0.82,0,19.508636,-99.316232
6.23,-0.09,19.425949,-99.133522,-0.34,-0.43,-0.51,-0.6,-0.68,-0.77,-0.86,-0.94,-1.03,0,19.508636,-99.316232
6.32,-0.1,19.425958,-99.133514,-0.41,-0.51,-0.62,-0.72,-0.82,-0.93,-1.03,-1.13,-1.23,0,19.508636,-99.316232
6.41,-0.12,19.425968,-99.133506,-0.48,-0.6,-0.72,-0.84,-0.96,-1.08,-1.2,-1.32,-1.44,0,19.508636,-99.316232
6.50,-0.14,19.425977,-99.133499,-0.55,-0.69,-0.83,-0.96,-1.1,-1.24,-1.38,-1.51,-1.65,0,19.508636,-99.316232
6.59,-0.15,19.425987,-99.133491,-0.62,-0.77,-0.93,-1.08,-1.24,-1.39,-1.55,-1.7,-1.86,0,19.508636,-99.316232
6.69,-0.17,19.425996,-99.133483,-0.69,-0.86,-1.03,-1.2,-1.38,-1.55,-1.72,-1.89,-2.06,0,19.508636,-99.316232
6.78,-0.19,19.426006,-99.133476,-0.76,-0.95,-1.13,-1.32,-1.51,-1.7,-1.89,-2.08,-2.27,0,19.508636,-99.316232
6.87,-0.21,19.426015,-99.133468,-0.82,-1.03,-1.24,-1.44,-1.65,-1.86,-2.06,-2.27,-2.47,0,19.508636,-99.316232
