0.00,0,0,2.57,3.43,4.28,5.14,6,10398
0.04,0,0,2.6,3.46,4.33,5.19,6.06,10433
0.07,0,0,2.62,3.5,4.37,5.25,6.12,10469
0.11,0,0,2.65,3.53,4.41,5.3,6.18,10504
0.14,0,0,2.67,3.56,4.45,5.34,6.24,10540
0.18,0,0,2.7,3.59,4.49,5.39,6.29,10574
0.21,0,0,2.72,3.62,4.53,5.44,6.34,10610
0.25,0,0,2.74,3.65,4.57,5.48,6.39,10645
0.28,0,0,2.76,3.68,4.6,5.52,6.44,10681
0.32,0,0,2.78,3.71,4.63,5.56,6.49,10716
0.35,0,0,2.8,3.73,4.67,5.6,6.53,10752
0.39,0,0,2.82,3.76,4.7,5.64,6.58,10786
0.42,0,0,2.84,3.78,4.73,5.67,6.62,10822
0.46,0,0,2.85,3.8,4.75,5.71,6.66,10857
0.50,0,0,2.87,3.82,4.78,5.74,6.69,10893
0.53,0,0,2.88,3.84,4.81,5.77,6.73,10929
0.57,0,0,2.9,3.86,4.83,5.79,6.76,10963
0.60,0,0,2.91,3.88,4.85,5.82,6.79,10999
0.64,0,0,2.92,3.9,4.87,5.85,6.82,11034
0.67,0,0,2.93,3.91,4.89,5.87,6.85,11070
0.71,0,0,2.94,3.93,4.91,5.89,6.87,11105
0.74,0,0,2.95,3.94,4.92,5.91,6.89,11141
0.78,0,0,2.96,3.95,4.94,5.93,6.91,11175
0.81,0,0,2.97,3.96,4.95,5.94,6.93,11211
0.85,0,0,2.98,3.97,4.96,5.95,6.95,11246
0.88,0,0,2.98,3.98,4.97,5.97,6.96,11282
0.92,0,0,2.99,3.98,4.98,5.98,6.97,11317
0.96,0,0,2.99,3.99,4.99,5.99,6.98,11353
0.99,0,0,3,3.99,4.99,5.99,6.99,11387
1.03,0,0,3,4,5,6,7,11423
1.06,0,0,3,4,5,6,7,11459
1.10,0,0,3,4,5,6,7,11494
1.13,0,0,3,4,5,6,7,11530
1.17,0,0,3,4,5,6,7,11565
1.20,0,0,3,3.99,4.99,5.99,6.99,11600
1.24,0,0,2.99,3.99,4.99,5.99,6.98,11635
1.27,0,0,2.99,3.99,4.98,5.98,6.97,11671
1.31,0,0,2.98,3.98,4.97,5.97,6.96,11706
1.34,0,0,2.98,3.97,4.96,5.96,6.95,11742
1.38,0,0,2.97,3.96,4.95,5.94,6.93,11777
1.41,0,0,2.96,3.95,4.94,5.93,6.91,11812
1.45,0,0,2.95,3.94,4.92,5.91,6.89,11847
1.49,0,0,2.95,3.93,4.91,5.89,6.87,11883
1.52,0,0,2.94,3.91,4.89,5.87,6.85,11918
1.56,0,0,2.92,3.9,4.87,5.85,6.82,11954
1.59,0,0,2.91,3.88,4.85,5.82,6.79,11988
1.63,0,0,2.9,3.86,4.83,5.8,6.76,12024
1.66,0,0,2.88,3.85,4.81,5.77,6.73,12060
1.70,0,0,2.87,3.83,4.78,5.74,6.7,12095
1.73,0,0,2.85,3.81,4.76,5.71,6.66,12131
1.77,0,0,2.84,3.78,4.73,5.67,6.62,12166
1.80,0,0,2.82,3.76,4.7,5.64,6.58,12201
1.84,0,0,2.8,3.74,4.67,5.6,6.54,12236
1.87,0,0,2.78,3.71,4.64,5.57,6.49,12272
1.91,0,0,2.76,3.68,4.6,5.53,6.45,12307
1.95,0,0,2.74,3.66,4.57,5.48,6.4,12343
1.98,0,0,2.72,3.63,4.53,5.44,6.35,12378
2.02,0,0,2.7,3.6,4.5,5.4,6.29,12413
2.05,0,0,2.67,3.57,4.46,5.35,6.24,12448
2.09,0,0,2.65,3.53,4.42,5.3,6.18,12484
2.12,0,0,2.63,3.5,4.38,5.25,6.13,12519
2.16,0,0,2.6,3.47,4.33,5.2,6.07,12555
2.19,0,0,2.57,3.43,4.29,5.15,6,12591
2.23,0,0,2.55,3.39,4.24,5.09,5.94,12625
2.26,0,0,2.52,3.36,4.2,5.04,5.87,12661
2.30,0,0,2.49,3.32,4.15,4.98,5.81,12696
2.33,0,0,2.46,3.28,4.1,4.92,5.74,12732
2.37,0,0,2.43,3.24,4.05,4.86,5.67,12767
2.41,0,0,2.4,3.2,4,4.8,5.6,12803
2.44,0,0,2.37,3.15,3.94,4.73,5.52,12837
2.48,0,0,2.33,3.11,3.89,4.67,5.45,12873
2.51,0,0,2.3,3.07,3.83,4.6,5.37,12908
0.00,0,0,0.98,1.31,1.63,1.96,2.29,14005
0.03,0,0,0.93,1.24,1.55,1.86,2.17,14040
0.07,0,0,0.88,1.18,1.47,1.76,2.06,14075
0.10,0,0,0.83,1.11,1.39,1.66,1.94,14110
0.14,0,0,0.78,1.04,1.3,1.56,1.82,14146
0.18,0,0,0.73,0.97,1.22,1.46,1.7,14181
0.21,0,0,0.68,0.91,1.13,1.36,1.58,14217
0.25,0,0,0.63,0.84,1.05,1.26,1.47,14252
0.28,0,0,0.58,0.77,0.96,1.15,1.35,14287
0.32,0,0,0.53,0.7,0.88,1.05,1.23,14323
0.35,0,0,0.47,0.63,0.79,0.95,1.11,14358
0.39,0,0,0.42,0.56,0.7,0.84,0.98,14394
0.42,0,0,0.37,0.49,0.62,0.74,0.86,14429
0.46,0,0,0.32,0.42,0.53,0.64,0.74,14465
0.49,0,0,0.27,0.35,0.44,0.53,0.62,14499
0.53,0,0,0.21,0.29,0.36,0.43,0.5,14535
0.57,0,0,0.16,0.22,0.27,0.32,0.38,14570
0.60,0,0,0.11,0.15,0.18,0.22,0.26,14606
0.64,0,0,0.06,0.08,0.1,0.11,0.13,14641
0.67,0,0,0,0.01,0.01,0.01,0.01,14676
0.71,0,0,-0.05,-0.06,-0.08,-0.1,-0.11,14716
0.75,0,0,-0.1,-0.13,-0.17,-0.2,-0.23,14757
0.79,0,0,-0.15,-0.2,-0.25,-0.3,-0.36,14798
0.83,0,0,-0.2,-0.27,-0.34,-0.41,-0.48,14838
0.87,0,0,-0.26,-0.34,-0.43,-0.51,-0.6,14879
0.91,0,0,-0.31,-0.41,-0.51,-0.62,-0.72,14920
0.96,0,0,-0.36,-0.48,-0.6,-0.72,-0.84,14960
1.00,0,0,-0.41,-0.55,-0.69,-0.83,-0.96,15001
1.04,0,0,-0.46,-0.62,-0.77,-0.93,-1.08,15041
1.08,0,0,-0.52,-0.69,-0.86,-1.03,-1.2,15082
1.12,0,0,-0.57,-0.76,-0.95,-1.13,-1.32,15123
1.16,0,0,-0.62,-0.82,-1.03,-1.24,-1.44,15163
1.20,0,0,-0.67,-0.89,-1.12,-1.34,-1.56,15204
1.24,0,0,-0.72,-0.96,-1.2,-1.44,-1.68,15244
1.28,0,0,-0.77,-1.03,-1.29,-1.54,-1.8,15285
1.32,0,0,-0.82,-1.1,-1.37,-1.64,-1.92,15326
1.36,0,0,-0.87,-1.16,-1.45,-1.74,-2.03,15366
1.40,0,0,-0.92,-1.23,-1.54,-1.84,-2.15,15407
1.44,0,0,-0.97,-1.3,-1.62,-1.94,-2.27,15447
1.48,0,0,-1.02,-1.36,-1.7,-2.04,-2.38,15488
1.52,0,0,-1.07,-1.43,-1.78,-2.14,-2.5,15528
1.56,0,0,-1.12,-1.49,-1.86,-2.24,-2.61,15568
1.60,0,0,-1.17,-1.56,-1.95,-2.33,-2.72,15609
1.64,0,0,-1.22,-1.62,-2.03,-2.43,-2.84,15649
1.69,0,0,-1.26,-1.68,-2.1,-2.53,-2.95,15690
1.73,0,0,-1.31,-1.75,-2.18,-2.62,-3.06,15731
1.77,0,0,-1.36,-1.81,-2.26,-2.71,-3.17,15771
1.81,0,0,-1.4,-1.87,-2.34,-2.81,-3.27,15812
1.85,0,0,-1.45,-1.93,-2.42,-2.9,-3.38,15853
1.89,0,0,-1.5,-1.99,-2.49,-2.99,-3.49,15893
1.93,0,0,-1.54,-2.05,-2.57,-3.08,-3.59,15934
1.97,0,0,-1.58,-2.11,-2.64,-3.17,-3.7,15974
